Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.716072,72.776598,71.466812,71.721019,135480400
2020-01-03,72.009117,72.771745,71.783962,71.941328,146322800
2020-01-06,72.582893,72.621631,70.876060,71.127851,118387200
2020-01-07,72.241554,72.849231,72.021238,72.592601,108872000
2020-01-08,73.403664,73.706294,71.943774,71.943774,132079200
2020-01-09,74.962791,75.156472,74.132375,74.384158,170108400
2020-01-10,75.132271,75.698802,74.628697,75.197644,140644800
2020-01-13,76.737434,76.764070,75.330808,75.449444,121532000
2020-01-14,75.701210,76.885104,75.577742,76.674475,161954400
2020-01-15,75.376793,76.383948,74.943424,75.500269,121923600
2020-01-16,76.320999,76.432373,75.558372,75.921528,108829200
2020-01-17,77.165947,77.168363,76.262895,76.570365,137816400
2020-01-21,76.643013,77.236165,76.505012,76.793117,110843200
2020-01-22,76.916588,77.471002,76.822164,77.129634,101832400
2020-01-23,77.286995,77.366886,76.420257,76.969839,104472000
2020-01-24,77.064255,78.279616,76.872990,77.533938,146537600
2020-01-27,74.798172,75.480901,73.812805,75.066904,161940000
2020-01-28,76.914169,77.086061,75.582595,75.681858,162234000
2020-01-29,78.524155,79.373944,77.807528,78.550790,216229200
2020-01-30,78.410362,78.463626,77.170789,77.604158,126743200
2020-01-31,74.933754,78.122266,74.638386,77.698583,199588400
2020-02-03,74.727943,75.897304,73.168791,73.672364,173788400
2020-02-04,77.195000,77.386264,75.931214,76.337948,136616400
2020-02-05,77.824471,78.625836,77.219209,78.325621,118826800
2020-02-06,78.734795,78.737218,77.536382,78.095643,105425600
2020-02-07,77.664558,78.482385,77.171920,78.232426,117684000
2020-02-10,78.033432,78.033432,76.164808,76.244889,109348800
2020-02-11,77.562637,78.603732,77.344228,78.530932,94323200
2020-02-12,79.404579,79.409430,78.014026,78.014026,113730400
2020-02-13,78.839134,79.166752,78.470265,78.674114,94747600
2020-02-14,78.858551,79.108510,78.348924,78.807583,80113600
2020-02-18,77.414612,77.596621,76.349247,76.531257,152531200
2020-02-19,78.535767,78.766315,77.657270,77.657270,93984000
2020-02-20,77.730087,78.785743,77.222889,78.295534,100566000
2020-02-21,75.970657,77.766488,75.351829,77.322381,129554000
2020-02-24,72.362030,73.818104,70.190057,72.138769,222195200
2020-02-25,69.910965,73.417680,69.437745,73.034250,230673600
2020-02-26,71.019997,72.289210,69.527523,69.534803,198054800
2020-02-27,66.377563,69.406200,66.241664,68.217075,320605600
2020-02-28,66.338737,67.564271,62.215623,62.431611,426510000
2020-03-02,72.514923,73.153170,67.396823,68.503439,341397200
2020-03-03,70.211891,73.774417,69.357656,73.694336,319475600
2020-03-04,73.468636,73.628805,71.136494,71.939761,219178400
2020-03-05,71.085541,72.694496,70.719093,71.716500,187572800
2020-03-06,70.141510,70.575907,68.248617,68.435477,226176800
2020-03-09,64.593880,67.486610,63.824584,64.006593,286744800
2020-03-10,69.246033,69.512981,65.370448,67.256069,285290000
2020-03-11,66.841072,68.246186,65.974706,67.316728,255598800
2020-03-12,60.240219,65.523343,60.184404,62.111276,418474000
2020-03-13,67.457481,67.930708,61.385652,64.283243,370732000
2020-03-16,58.779282,62.873271,58.242959,58.716183,322423600
2020-03-17,61.363827,62.516549,57.854686,60.065492,324056000
2020-03-18,59.861637,60.669759,57.544052,58.187153,300233600
2020-03-19,59.402977,61.358970,58.876364,60.036369,271857200
2020-03-20,55.631741,61.113859,55.330817,59.985399,401693200
2020-03-23,54.449883,55.452148,51.595979,55.350223,336752800
2020-03-24,59.912605,60.109175,56.859702,57.359621,287531200
2020-03-25,59.582558,62.671861,59.286489,60.851768,303602000
2020-03-26,62.717972,62.776212,59.786409,59.825238,252087200
2020-03-27,60.121307,62.094285,59.953858,61.337128,204216800
2020-03-30,61.837044,62.009348,60.524149,60.849342,167976400
2020-03-31,61.710846,63.700813,61.155113,62.028759,197002000
2020-04-01,58.463814,60.359137,58.031845,59.820389,176218400
2020-04-02,59.439362,59.492751,57.490650,58.325466,165934000
2020-04-03,58.585144,59.626235,57.993007,58.922468,129880000
2020-04-06,63.695961,63.851272,60.519294,60.888163,201820400
2020-04-07,62.958218,65.935894,62.853867,65.717477,202887200
2020-04-08,64.569611,64.885090,63.395045,63.761485,168895200
2020-04-09,65.035545,65.540322,64.237137,65.207853,161834800
2020-04-13,66.312042,66.421251,64.511361,65.113207,131022800
2020-04-14,69.661011,69.952229,67.476900,67.950127,194994800
2020-04-15,69.025192,69.486281,68.103015,68.532554,131154400
2020-04-16,69.573647,69.940094,68.520421,69.741096,157125200
2020-04-17,68.629631,69.636755,67.188117,69.088298,215250000
2020-04-20,67.205109,68.357834,67.185698,67.452646,130015200
2020-04-21,65.127762,67.282753,64.414285,67.047354,180991600
2020-04-22,67.003670,67.440489,66.057223,66.399394,116862400
2020-04-23,66.744011,68.374814,66.705181,66.947860,124814400
2020-04-24,68.670883,68.680592,67.222089,67.270628,126161200
2020-04-27,68.719421,69.051890,67.937995,68.386945,117087600
2020-04-28,67.605515,69.364937,67.513303,69.182928,112004800
2020-04-29,69.826019,70.296817,68.894133,69.097982,137280800
2020-04-30,71.299103,71.476261,69.976506,70.367216,183064000
2020-05-01,70.151237,72.561039,69.369811,69.466881,240616800
2020-05-04,71.143784,71.272403,69.483860,70.175497,133568000
2020-05-05,72.211563,73.046379,71.459257,71.604866,147751200
2020-05-06,72.956604,73.589993,72.529487,72.915345,142333600
2020-05-07,73.711319,74.058356,73.281780,73.585129,115215200
2020-05-08,75.465790,75.519324,74.044709,74.373214,133838400
2020-05-11,76.653275,77.149675,74.762549,74.971822,145946400
2020-05-12,75.777245,77.792066,75.655577,77.339457,162301200
2020-05-13,74.862297,76.881990,73.781885,75.957309,200622400
2020-05-14,75.322220,75.383054,73.373096,74.098240,158929200
2020-05-15,74.876900,74.923134,73.051880,73.085951,166348400
2020-05-18,76.641098,77.015838,75.512023,76.205532,135178400
2020-05-19,76.198235,77.507376,76.166600,76.658136,101729600
2020-05-20,77.680138,77.750700,77.020692,77.059627,111504800
2020-05-21,77.101006,78.084085,76.862534,77.541443,102688800
2020-05-22,77.597397,77.680130,76.735986,76.838183,81803200
2020-05-26,77.071800,78.899248,77.015830,78.719182,125522000
2020-05-27,77.407593,77.553596,76.186049,76.928228,112945200
2020-05-28,77.441658,78.704572,76.804119,77.081518,133560800
2020-05-29,77.366226,78.147332,77.008522,77.684996,153532400
2020-06-01,78.317696,78.439364,77.188613,77.320017,80791200
2020-06-02,78.680244,78.704580,77.607132,78.050005,87642800
2020-06-03,79.113388,79.376195,78.427179,79.001456,104491200
2020-06-04,78.432037,79.235043,78.057298,78.935745,87560400
2020-06-05,80.665871,80.726705,78.653485,78.682684,137250400
2020-06-08,81.142799,81.176870,79.648721,80.361693,95654400
2020-06-09,83.705132,84.099335,80.789972,80.821606,147712400
2020-06-10,85.858635,86.328271,84.216118,84.656555,166651600
2020-06-11,81.736557,85.425531,81.634360,84.999694,201662400
2020-06-12,82.442207,84.632231,81.327732,83.882759,200146000
2020-06-15,83.461792,84.116366,80.928664,81.091702,138808800
2020-06-16,85.673714,85.946256,83.882765,85.522847,165428800
2020-06-17,85.554466,86.481575,85.432798,86.420741,114406400
2020-06-18,85.588554,86.007093,84.977779,85.510685,96820400
2020-06-19,85.099442,86.763858,83.987395,86.296658,264476000
2020-06-22,87.325974,87.469541,85.447420,85.493654,135445200
2020-06-23,89.189919,90.613435,88.153305,88.574279,212155600
2020-06-24,87.615547,89.739873,87.240808,88.817627,192623200
2020-06-25,88.778679,88.817614,87.009629,87.771272,137522400
2020-06-26,86.050903,88.895502,85.902465,88.674065,205256800
2020-06-29,88.034073,88.128977,85.479046,85.958418,130646000
2020-06-30,88.768959,89.056101,87.600949,87.620413,140223200
2020-07-01,88.601051,89.391893,88.552389,88.846823,110737200
2020-07-02,88.601051,90.148672,88.486691,89.511133,114041600
2020-07-06,90.971153,91.440790,90.002673,90.034308,118655600
2020-07-07,90.688881,92.131861,90.576948,91.350755,112424400
2020-07-08,92.801033,92.832668,91.581917,91.669522,117092000
2020-07-09,93.200111,93.750046,92.148898,93.696511,125642800
2020-07-10,93.363159,93.421565,92.180550,92.793754,90257200
2020-07-13,92.932426,97.290574,92.718290,94.672277,191649200
2020-07-14,94.470299,94.662529,91.375066,92.311903,170989200
2020-07-15,95.120018,96.601933,93.917938,96.351297,153198000
2020-07-16,93.949585,94.808561,93.348545,93.988520,110577600
2020-07-17,93.759773,94.557915,93.285265,94.402184,92186800
2020-07-20,95.735664,95.874368,93.501842,93.847382,90318000
2020-07-21,94.414352,96.604376,94.163717,96.528943,103433200
2020-07-22,94.679588,95.363362,94.027450,94.115047,89001600
2020-07-23,90.370102,94.489778,89.557361,94.411908,197004400
2020-07-24,90.146248,90.491788,86.768743,88.562136,185438800
2020-07-27,92.282722,92.375191,90.988181,91.212046,121214000
2020-07-28,90.766739,92.029653,90.761867,91.852015,103625600
2020-07-29,92.506599,92.691537,91.214486,91.250985,90329200
2020-07-30,93.625938,93.730571,91.268013,91.676815,158130000
2020-07-31,103.427528,103.578396,98.137399,100.142493,374336800
2020-08-03,106.033661,108.661687,105.016518,105.315817,308151200
2020-08-04,106.741760,107.836772,105.498310,106.223453,173071600
2020-08-05,107.128654,107.449860,105.994708,106.461916,121776800
2020-08-06,110.866280,111.362687,106.870708,107.462012,202428800
2020-08-07,108.345680,110.844371,107.546099,110.386074,198045600
2020-08-10,109.920433,110.941849,107.260851,109.796106,212403600
2020-08-11,106.651421,109.681538,106.390580,109.181803,187902400
