final_value,sharpe_ratio,max_drawdown,total_return,short_window,long_window
10043.415229032653,-3.2506958253440428,0.36244815556180127,0.004332125681722887,5,80
10048.207786239747,-2.2105555179403473,0.4056397470407734,0.004809195881014219,5,100
10024.282581363335,-2.346427638071892,0.5104076448042808,0.002425314681560879,5,120
10004.816223206104,-3.2136469369228022,0.45697376429130643,0.00048150637780607715,5,150
10037.846351912278,-2.569196585753443,0.41018711155929916,0.0037774914780216227,5,180
10028.924220143854,-3.0160507087446247,0.34988784099349934,0.002888247010475342,5,200
10002.692780417197,-2.878278517243964,0.4355444179090604,0.0002692417928950422,5,250
10049.987411769953,-2.3163817933152804,0.35245888993796765,0.004986288950051029,10,80
10031.117019220583,-2.1676891202739155,0.5003269039760554,0.0031068705974658874,10,100
10022.302264980817,-2.4479313217285106,0.5157599779115523,0.0022277432344402956,10,120
10013.325326951921,-3.095079377171429,0.4353753620803379,0.0013316456614137567,10,150
10042.802439716083,-2.700967196057009,0.34615976749100164,0.004271109782476386,10,180
10024.129209985007,-2.8740358238567163,0.3742959151922966,0.002410014578996367,10,200
10009.402335987728,-3.037981748807667,0.41625471092493765,0.0009397918560353599,10,250
10014.287171580396,-2.057599090483443,0.6108739813487699,0.001427697512755034,15,80
10030.95602924331,-2.164005794307467,0.5677566818847515,0.0030908214108351533,15,100
10003.334591802382,-2.269414887658558,0.6349660480129113,0.0003334035950823281,15,120
10024.33256588156,-3.493505536883822,0.32444972101641945,0.0024303010128219125,15,150
10035.544917695837,-2.5136282437169983,0.41623138531195947,0.003548189493557328,15,180
10010.43044013923,-2.543490197255288,0.5182419711989994,0.0010425004214764267,15,200
9994.864133738649,-2.7109276967801885,0.5121416008601549,-0.0005137185569202294,15,250
10021.786724866883,-2.343280467154996,0.5046577731247924,0.00217630262126907,20,80
10022.305274853426,-2.0190990795390302,0.669406701250383,0.0022280435518800806,20,100
10012.735178350846,-2.2085900160518617,0.6068069654762844,0.0012727075990735827,20,120
10002.557555894762,-3.2540388681201637,0.46331982459087523,0.0002557228895907736,20,150
10019.073028258019,-2.194529526796,0.5982156248577026,0.0019054862332618442,20,180
10003.026225644138,-2.4010817038258816,0.5840298111955048,0.00030257678344158134,20,200
9986.605720733607,-2.555169471690111,0.609350810134421,-0.0013403257620380783,20,250
10037.772264321744,-2.250255805819182,0.4829636627178347,0.0037701106254610893,30,80
10036.016841086866,-2.0983344919858076,0.5075113590458882,0.0035952135763652553,30,100
10008.587231809362,-2.345169013474038,0.6023768247976344,0.0008583546891254172,30,120
9987.599234893047,-2.5472045493592153,0.7139991419463372,-0.0012408460418223129,30,150
10016.77175224949,-2.1585873631683095,0.5961132211613966,0.0016757703371906103,30,180
10000.35100529692,-2.3546019361887,0.6106177277207822,3.5099913682734036e-05,30,200
9971.311725668818,-2.315083045733565,0.7465798691203938,-0.002872950405824802,30,250
10032.148544755899,-2.241586358001182,0.512591101560799,0.0032096978797879127,40,80
10044.583919944376,-2.399589962042969,0.41993838328788063,0.0044484828066286555,40,100
10030.846995725286,-2.5417101258191996,0.476874426259047,0.003079951648243174,40,120
9991.803172134454,-2.051746967878426,0.7606016396532357,-0.00082001891017887,40,150
10014.362590768691,-2.1227519774673467,0.6352997222490816,0.0014352286433294676,40,180
10007.268894004277,-2.4800476644960745,0.5980241032087735,0.0007266253442795232,40,200
9984.21790059639,-2.5137914290874974,0.659345627733339,-0.0015794566255289294,40,250
10028.73117237807,-2.134501963207034,0.6524809396190335,0.0028689977251513915,50,80
10079.328114514748,-2.635860965653462,0.3036745119108039,0.007901512121536804,50,100
10063.610756690454,-2.198547198494374,0.37365132798059353,0.0063409294166340505,50,120
10030.44754584152,-2.7604103976147525,0.49185324380722506,0.0030401287063098158,50,150
10035.083746699684,-2.502881319658268,0.44111534594994106,0.0035022346802880714,50,180
10015.215849706297,-2.647896849581868,0.4832786151489351,0.0015204285331483656,50,200
9978.777094356694,-2.4251254972383713,0.6875953716597073,-0.002124545814379288,50,250
10032.772051048813,-2.7726914568147767,0.49030482900567823,0.0032718467719439984,60,80
10070.099083968273,-2.499608054321606,0.30400173059470575,0.006985453208203536,60,100
10056.848440585574,-2.7453302615259614,0.4390564916573177,0.00566874631254151,60,120
10020.106203441941,-2.509497999385483,0.5406475198348569,0.002008601752404782,60,150
10057.020141354393,-3.203444088803907,0.43189519653278585,0.005685819186227956,60,180
10025.024972973979,-2.8993807660994797,0.432541252396346,0.002499371265208113,60,200
9998.789616034683,-2.7923349584026704,0.5047191006923607,-0.00012104572226962345,60,250
